team;short;league;tackles;challenges;interceptions;fouls;clearances;blocked_shots;passes;chances_openplay;crosses;long_balls;through_balls;shots_outbox;shots_inbox;dribbles;aerials;fouled
Augsburg;AUG;Bundesliga;15.88235294;22.70588235;19.58823529;15.94117647;20;3.941176471;410.3529412;9.941176471;14.82352941;75.52941176;0.352941176;7.235294118;8.058823529;13.11764706;51.11764706;13.76470588
Avai FC;AVA;Brasileirao;18.55263158;25.73684211;15.84210526;14.36842105;18.73684211;1.921052632;336.3947368;8.342105263;23.94736842;54;0.236842105;5.157894737;6.552631579;17.02631579;31.52631579;14.44736842
AZ Alkmaar;AZA;Eredivisie;17;24.47058824;16.70588235;11.88235294;25.35294118;3.235294118;400.9411765;11.41176471;21.76470588;73.76470588;0.352941176;6.294117647;8.647058824;14.64705882;27.29411765;12.11764706
Barcelona;BAR;La Liga;16.4;23.13333333;15.73333333;9.133333333;13.8;2.533333333;618.4666667;11.8;16.2;54.86666667;1.4;5.133333333;11.8;25.26666667;19.93333333;15.6
Bayer Leverkusen;LEV;Bundesliga;20.11764706;31.52941176;22.70588235;15.58823529;20.23529412;2.176470588;456.8823529;8.764705882;14.29411765;64.58823529;0.294117647;5.411764706;9.294117647;21.82352941;55.05882353;14.35294118
Bayern Munich;MUN;Bundesliga;14.35294118;21;12.64705882;11.64705882;10.70588235;1.411764706;733.1176471;14.88235294;17.29411765;55.05882353;0.647058824;7.117647059;12.82352941;24.23529412;31.88235294;12.23529412
Besiktas;BES;Super Lig;18.1875;24.9375;18.9375;14.5;12.625;2;469.9375;10.375;22.625;55.25;0.875;6.375;8.3125;14.1875;22.3125;19.5625
Birmingham;BIR;Championship;16.68181818;24.04545455;18.54545455;10.5;19.40909091;2.727272727;333.8181818;9.454545455;20.5;83.45454545;0.545454545;5.454545455;8.045454545;11.31818182;39.18181818;11.95454545
Blackburn;BLA;Championship;14.86363636;20.90909091;13.22727273;11.59090909;21.31818182;3.772727273;394.2272727;6.909090909;21.54545455;83.31818182;0.181818182;4.227272727;8.045454545;12.31818182;49.09090909;11.18181818
Bologna;BOL;Serie A;20.35294118;31.11764706;21.76470588;14;23.82352941;3.941176471;385.9411765;6.176470588;17.05882353;71.47058824;0.117647059;4.470588235;4.764705882;14.88235294;31.05882353;13.58823529
Bolton;BOL;Championship;17.04545455;24.54545455;20.95454545;12.86363636;17.22727273;3.227272727;393.9545455;7.909090909;25.22727273;85.09090909;0.181818182;4.409090909;8.772727273;12.27272727;47.68181818;11.86363636
Bordeaux;BOR;Ligue 1;23.78947368;33.52631579;19.57894737;12.94736842;21.31578947;2.052631579;435.5789474;7.684210526;22.94736842;65.36842105;0.526315789;5.368421053;5.947368421;18.89473684;40.15789474;13.21052632
Borussia Dortmund;DOR;Bundesliga;16.88235294;25;16.76470588;12.35294118;13.94117647;1.705882353;621.9411765;11.29411765;13;55.23529412;0.529411765;5.764705882;10.52941176;17.64705882;36.52941176;13.35294118
Borussia M.Gladbach;MGL;Bundesliga;17.17647059;25.41176471;18.88235294;15.05882353;17.05882353;3.058823529;555.1176471;8.529411765;9.588235294;69.29411765;0.470588235;6;6.647058824;21.35294118;41.35294118;14.05882353
Bournemouth;BOU;Premier League;17.94117647;28.17647059;15.88235294;10.05882353;22.64705882;2.705882353;471.2941176;9.176470588;20.88235294;60.47058824;0.235294118;5.882352941;7;19.29411765;33.35294118;11.05882353
Brentford;BRE;Championship;16.22727273;22.95454545;13.5;12.09090909;22.09090909;3.363636364;470.0454545;9.5;18.95454545;79.95454545;0.318181818;5.409090909;7.545454545;13.5;31.45454545;10.77272727
Brighton;BRG;Championship;16.45454545;22.59090909;14.72727273;11;20.18181818;2.727272727;451.4090909;11.54545455;23.77272727;84.95454545;0.409090909;6.090909091;9.181818182;14.40909091;37.90909091;9.5
Bristol City;BCI;Championship;15.40909091;21.18181818;15.95454545;11;22.59090909;4.454545455;388.3181818;8.5;21.18181818;82.81818182;0.409090909;4.5;6.409090909;12.59090909;38.77272727;11
Burnley;BUR;Championship;14.18181818;20.36363636;14.90909091;9.909090909;19.86363636;3.409090909;406.0909091;7.863636364;20.5;88.36363636;0.454545455;4.590909091;6.636363636;10.04545455;42.5;8.636363636
Bursaspor;BUR;Super Lig;18;24.625;23.25;16.9375;15.5;2.5625;430.1875;8.5625;18.25;67.875;0.125;6.3125;5.75;10;25.9375;17.9375
Caen;CAE;Ligue 1;20.47368421;28.26315789;16.52631579;12.21052632;20.05263158;2.473684211;322.7894737;8.631578947;24.94736842;61.47368421;0.315789474;5.736842105;6.578947368;16.10526316;40.57894737;12.31578947
Cambuur;CAM;Eredivisie;16.11764706;23.70588235;17.76470588;14;25.70588235;2;405.4117647;7.764705882;19.76470588;88.11764706;0.117647059;4.647058824;6.764705882;14.29411765;38.58823529;13.05882353
Cardiff;CAR;Championship;15.31818182;23.13636364;14.77272727;10.22727273;23.86363636;3.727272727;399.1363636;8.181818182;18.36363636;77.36363636;0.090909091;4.772727273;7.227272727;12.36363636;44.22727273;8.954545455
Carpi;CAR;Serie A;20.29411765;29.88235294;20.58823529;16;23.52941176;2.647058824;326.6470588;8.529411765;20.58823529;63.52941176;0.117647059;5.294117647;7;18;28.82352941;14.76470588
Celta Vigo;CEL;La Liga;21.6875;30.625;21.625;14.4375;19.9375;2.5;513.0625;9.875;13.0625;66.5625;0.8125;5.75;7.8125;17.5625;32.625;14.25
Chapecoense AF;CHA;Brasileirao;18.89473684;25.44736842;14.55263158;13.71052632;20.31578947;2.5;385.8157895;7.947368421;24.71052632;62.42105263;0.184210526;6.315789474;5.605263158;13.39473684;33;13.13157895
Charlton;CHA;Championship;19.36363636;26.59090909;11.95454545;11.36363636;24;4.727272727;400.2727273;8.818181818;15.18181818;70.54545455;0.409090909;5.227272727;6.318181818;14.27272727;39.90909091;8.181818182
